start_date,end_date,prod,region_id
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,93
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,93
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,93
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,93
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,93
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,93
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,93
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,93
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,93
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,93
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,93
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,93
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,94
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,94
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,94
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,94
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,94
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,94
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,94
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,94
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,94
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,94
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,94
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,94
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,95
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,95
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,95
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,95
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,95
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,95
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,95
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,95
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,95
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,95
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,95
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,95
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,97
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,97
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,97
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,97
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,97
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,97
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,97
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,97
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,97
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,97
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,97
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,97
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,98
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,98
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,98
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,98
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,98
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,98
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,98
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,98
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,98
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,98
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,98
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,98
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,99
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,99
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,99
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,99
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,99
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,99
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,99
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,99
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,99
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,99
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,99
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,99
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,102
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,102
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,102
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,102
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,102
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,102
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,102
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,102
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,102
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,102
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,102
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,102
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,103
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,103
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,103
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,103
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,103
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,103
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,103
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,103
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,103
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,103
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,103
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,103
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,104
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,104
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,104
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,104
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,104
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,104
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,104
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,104
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,104
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,104
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,104
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,104
2021-01-01T00:00:00.000Z,2021-01-31T00:00:00.000Z,,105
2021-02-01T00:00:00.000Z,2021-02-28T00:00:00.000Z,,105
2021-03-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,,105
2021-04-01T00:00:00.000Z,2021-04-30T00:00:00.000Z,,105
2021-05-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,,105
2021-06-01T00:00:00.000Z,2021-06-30T00:00:00.000Z,,105
2021-07-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,,105
2021-08-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,,105
2021-09-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,105
2021-10-01T00:00:00.000Z,2021-10-31T00:00:00.000Z,,105
2021-11-01T00:00:00.000Z,2021-11-30T00:00:00.000Z,,105
2021-12-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,,105
